category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Misc Net,6.56,Female,9047 Rodriguez Turnpike,Gibsonville,North Carolina,27249,12486,Arboriculturist,85,Wednesday,44,7,28,8,126.10250489167444,0
Gas Transport,44.33,Female,84079 Thomas Burgs,Tomales,California,94971,337,Occupational psychologist,65,Saturday,58,9,31,8,86.8416269231858,0
Shopping Net,6.87,Female,0069 Robin Brooks Apt. 695,Elberta,Michigan,49628,372,"Exhibitions officer, museum/gallery",25,Saturday,37,15,16,5,74.55238612074312,0
Shopping Pos,412.75,Female,574 David Locks Suite 207,Cottekill,New York,12419,722,Comptroller,29,Thursday,29,14,2,5,37.654957272433016,0
Shopping Net,7.93,Female,41851 Victor Drives Suite 219,Allentown,Pennsylvania,18103,166081,"Scientist, research (maths)",21,Saturday,25,20,31,8,76.30402865024665,0
Grocery Pos,210.56,Female,6574 William Hill Apt. 375,Jermyn,Pennsylvania,18433,6508,Training and development officer,38,Wednesday,6,0,10,4,20.15259964317676,0
Shopping Net,1.53,Male,5783 Evan Roads Apt. 465,Falmouth,Michigan,49632,1126,Furniture designer,64,Wednesday,11,9,22,5,79.89296575469841,0
Personal Care,34.69,Male,95793 Andrea Ville Suite 533,Des Moines,Iowa,50314,222785,Interior and spatial designer,39,Monday,15,12,11,5,83.04069540922555,0
Grocery Pos,103.04,Female,372 Jeffrey Course,Sutherland,Nebraska,69165,1789,Insurance broker,37,Sunday,33,8,30,6,105.85428635637501,0
Shopping Net,22.25,Female,641 Steven Mall Apt. 299,Westhampton Beach,New York,11978,3255,Financial trader,41,Saturday,33,13,2,2,105.49148509402933,0
Food Dining,58.78,Female,6983 Carrillo Isle,Edisto Island,South Carolina,29438,2408,"Sales professional, IT",22,Tuesday,10,12,13,8,58.59184804135127,0
Misc Net,2.05,Male,93914 Gregory Via,Oakland,California,94619,381459,Barista,45,Tuesday,6,17,20,8,102.07849560857021,0
Grocery Net,40.34,Female,597 Jenny Ford Apt. 543,Tupper Lake,New York,12986,6120,Chartered loss adjuster,43,Sunday,57,6,2,6,54.99571845330253,0
Gas Transport,62.91,Female,2027 Snyder Track,Manville,Wyoming,82227,241,Educational psychologist,39,Wednesday,44,9,18,9,80.37152227175241,0
Entertainment,42.89,Female,561 Little Plain Apt. 738,Wetmore,Michigan,49895,765,Immunologist,47,Wednesday,46,22,11,12,104.90545605128814,0
Home,88.07,Female,05050 Rogers Well Apt. 439,Rock Springs,Wyoming,82901,27971,Music therapist,36,Monday,55,16,11,5,53.262162472314984,0
Gas Transport,83.65,Female,343 Hannah Parkway,Comfort,West Virginia,25049,630,Fine artist,60,Wednesday,29,6,6,11,99.61537190845966,0
Personal Care,100.06,Female,84079 Thomas Burgs,Tomales,California,94971,337,Occupational psychologist,65,Sunday,36,17,22,9,33.508985856566255,0
Health Fitness,60.85,Female,2481 Mills Lock,Plainfield,New Jersey,7060,71485,Leisure centre manager,46,Monday,3,16,30,3,124.67625878082667,0
Grocery Pos,149.11,Female,9734 Beard Fields Suite 885,Altair,Texas,77412,106,"Editor, film/video",36,Sunday,20,6,8,9,76.34483806618894,0
Personal Care,72.22,Female,9333 Valentine Point,Bellmore,New York,11710,34496,"Librarian, public",49,Wednesday,20,18,25,12,48.88040645638633,0
Food Dining,15.47,Female,4879 Cristina Station,Keisterville,Pennsylvania,15449,184,Systems developer,74,Monday,43,19,24,6,74.96463883479474,0
Food Dining,3.73,Male,16285 Jessica Lights,Birmingham,Alabama,35229,493806,Musician,40,Monday,26,18,27,1,72.04964054322122,0
Kids Pets,39.59,Female,653 Jessica Extension Apt. 668,Clifton,South Carolina,29324,167,Museum/gallery conservator,31,Sunday,41,17,14,4,90.93708827563545,0
Food Dining,2.58,Male,01892 Patricia Vista Apt. 828,Sachse,Texas,75048,20328,Site engineer,34,Tuesday,14,18,7,5,105.24115073460307,0
Grocery Pos,44.45,Male,47144 Roberts Keys,Monmouth Beach,New Jersey,7750,3279,Health promotion specialist,42,Thursday,51,4,16,1,34.443335011875604,0
Home,1.68,Male,06959 Stephen Branch Suite 246,Thida,Arkansas,72165,111,Careers information officer,20,Sunday,31,12,26,4,44.499997174522996,0
Travel,7.1,Female,3854 Lauren Springs Suite 648,Oakford,Illinois,62673,530,Transport planner,52,Sunday,2,18,28,7,96.03031407314207,0
Shopping Pos,7.63,Female,03030 White Lakes,Grandview,Texas,76050,5875,"Radiographer, therapeutic",27,Sunday,22,17,4,8,27.59669382341551,0
Entertainment,248.75,Female,6343 Ramirez Skyway Apt. 518,Lakeport,California,95453,11256,Podiatrist,47,Saturday,58,20,10,8,19.196968283594643,0
Shopping Pos,9.7,Male,25360 Mcgee Forge,De Queen,Arkansas,71832,11253,"Scientist, biomedical",62,Monday,56,3,7,10,105.04643453614143,0
Shopping Pos,3.35,Female,08236 Kim Hill,Indianapolis,Indiana,46254,910148,Firefighter,44,Tuesday,48,12,31,12,80.88277438065084,0
Shopping Net,2.23,Female,195 Murray Overpass Apt. 384,Winter,Wisconsin,54896,1478,Neurosurgeon,54,Sunday,19,11,29,12,113.1109597887477,0
Home,173.74,Female,17666 David Valleys,Sun City,California,92585,54287,"Designer, exhibition/display",47,Tuesday,33,20,24,12,115.70555610769912,0
Food Dining,130.52,Male,5901 Foster Pine,Kenner,Louisiana,70062,68211,"Engineer, petroleum",78,Monday,31,2,24,6,99.03674201035896,0
Misc Pos,6.12,Male,69459 Rachel Prairie Apt. 850,Ironton,Ohio,45638,21635,Geochemist,18,Sunday,57,20,17,11,84.30061668847097,0
Shopping Net,52.16,Female,597 Jenny Ford Apt. 543,Tupper Lake,New York,12986,6120,Chartered loss adjuster,43,Saturday,15,20,12,10,86.26910323524925,0
Personal Care,91.84,Male,7020 Doyle Stream Apt. 951,Mesa,Idaho,83643,129,Cartographer,54,Sunday,17,14,10,11,128.82251470944988,0
Personal Care,11.93,Male,32600 Cobb Curve,Sardis,Alabama,36775,800,Learning disability nurse,87,Sunday,43,22,14,4,107.20632667096831,0
Personal Care,45.59,Female,05050 Rogers Well Apt. 439,Rock Springs,Wyoming,82901,27971,Music therapist,35,Monday,55,21,15,7,119.35721780637942,0
Misc Pos,1.74,Female,91542 Marissa Shores Apt. 053,Oran,Iowa,50664,53,Sports administrator,48,Wednesday,48,12,8,4,57.96437432774716,0
Gas Transport,63.23,Male,01479 Murray Circle,Matawan,New Jersey,7747,30770,Drilling engineer,27,Sunday,20,9,29,3,56.497274511545946,0
Misc Pos,35.41,Male,1831 Faith View Suite 653,Clarinda,Iowa,51632,7297,IT trainer,29,Sunday,43,18,9,6,108.20742192251988,0
Personal Care,32.91,Female,312 Eric Expressway Apt. 014,Phenix City,Alabama,36869,59744,Chemical engineer,36,Sunday,39,23,2,2,75.09104848132908,0
Shopping Net,8.02,Female,05561 Farrell Crescent,Annapolis,Maryland,21405,92106,"Accountant, chartered certified",76,Friday,34,10,14,6,123.34898106531178,0
Shopping Pos,44.84,Female,1943 Dennis Inlet Suite 145,Hurricane,West Virginia,25526,21902,Sub,39,Friday,9,19,13,12,90.78984503282976,0
Entertainment,2.17,Female,4038 Smith Avenue,Jones,Alabama,36749,1089,Materials engineer,48,Saturday,27,12,28,12,51.83484685453163,0
Personal Care,1.64,Male,411 Laurie Fords,Cass,West Virginia,24927,365,Special effects artist,50,Friday,51,22,19,6,42.30627032040072,0
Personal Care,9.52,Female,302 Christina Islands,Smiths Grove,Kentucky,42171,6841,"Therapist, sports",20,Saturday,18,15,22,6,86.32223727444268,0
Gas Transport,82.59,Male,0701 John Ranch,Portland,Oregon,97210,841711,"Engineer, building services",56,Monday,25,0,16,12,83.50531570268396,0
Kids Pets,25.83,Female,330 Montoya Ramp,Washington,District of Columbia,20036,601723,Prison officer,33,Monday,40,23,30,12,84.29880339158373,0
Home,28.47,Female,954 Reyes Ways,Fulton,South Dakota,57340,355,Financial adviser,64,Sunday,14,14,10,3,34.707726441940395,0
Gas Transport,54.33,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,31,Sunday,24,7,12,5,102.40462572282381,0
Personal Care,244.47,Female,1976 Tyler Underpass,Early,Iowa,50535,885,"Pilot, airline",71,Tuesday,0,13,17,3,76.51487909269221,0
Grocery Pos,91.02,Female,07177 William Dale Apt. 547,Santa Monica,California,90403,92043,"Civil engineer, contracting",58,Saturday,44,11,31,8,112.37149775637616,0
Entertainment,46.75,Female,31701 Tucker Square Suite 893,Wilton,North Dakota,58579,1190,"Designer, ceramics/pottery",71,Sunday,24,18,7,4,33.80996788449116,0
Kids Pets,28.66,Female,68276 Matthew Springs,Ratcliff,Texas,75858,43,"Engineer, production",70,Thursday,43,22,1,8,133.1833606893486,0
Food Dining,2.51,Female,8969 Fuentes Station Apt. 291,Mill Creek,Pennsylvania,17060,1334,Archaeologist,33,Wednesday,9,22,16,10,59.974448546658515,0
Entertainment,149.96,Male,830 Myers Plaza Apt. 384,Edmond,Oklahoma,73034,116001,Media buyer,26,Thursday,14,13,23,5,97.97204974025956,0
Home,75.17,Male,2161 Blankenship Freeway,West Hartford,Vermont,5084,140,"Development worker, community",30,Tuesday,32,12,31,12,14.171521305114107,0
Shopping Net,82.31,Male,153 Mccullough Springs Apt. 857,Lamberton,Minnesota,56152,1507,Land/geomatics surveyor,27,Tuesday,41,1,31,3,125.53250839767995,0
Misc Pos,22.49,Male,16285 Jessica Lights,Birmingham,Alabama,35229,493806,Musician,40,Tuesday,58,16,12,5,89.51105048553879,0
Shopping Pos,33.79,Female,39787 Pamela Fall Suite 639,Tiptonville,Tennessee,38079,5577,Geochemist,56,Tuesday,47,3,16,6,79.85455415712697,0
Misc Pos,3.72,Female,27823 Andrew Underpass Suite 948,Metairie,Louisiana,70003,137067,Advertising account planner,68,Monday,37,4,28,1,91.93540652505845,0
Gas Transport,68.09,Male,27718 Mason Bypass,Mount Saint Joseph,Ohio,45051,177,Exhibition designer,46,Tuesday,15,7,25,2,130.05492696489137,0
Kids Pets,103.51,Male,923 Jordan Road,Afton,Minnesota,55001,2916,Barrister's clerk,84,Thursday,49,21,26,9,31.95351382713797,0
Misc Pos,1.21,Male,1626 Susan Course,Aledo,Texas,76008,13602,Optometrist,35,Thursday,10,19,24,10,68.18446219330413,0
Health Fitness,8.8,Male,62931 Ralph Court,Lakeland,Florida,33813,237282,"Radiographer, therapeutic",58,Saturday,52,23,10,8,106.31799390741475,0
Entertainment,106.53,Male,230 Ryan Tunnel Apt. 025,Fulton,Ohio,43321,267,Facilities manager,14,Saturday,25,21,29,6,13.608457174122812,0
Shopping Pos,118.62,Male,42933 Ryan Underpass,Manderson,South Dakota,57756,1126,Volunteer coordinator,39,Saturday,43,4,31,8,70.42809069319965,0
Shopping Net,42.65,Male,4720 Anna Ways,Murrayville,Illinois,62668,1512,Commercial/residential surveyor,17,Monday,57,23,20,1,121.18785222934345,0
Health Fitness,5.31,Male,1632 Cohen Drive Suite 639,High Rolls Mountain Park,New Mexico,88325,899,Naval architect,52,Tuesday,58,12,17,12,49.59872021565541,0
Misc Net,2.15,Female,2870 Bean Terrace Apt. 756,Thomas,West Virginia,26292,836,Forensic psychologist,39,Thursday,51,8,23,4,75.9430527877848,0
Misc Net,10.64,Female,67632 Martin Gateway,Fordoche,Louisiana,70732,1178,Community education officer,69,Friday,38,11,10,4,132.11570776382158,0
Health Fitness,28.57,Female,7600 Stephen Course Suite 031,Red River,New Mexico,87558,606,"Surveyor, land/geomatics",31,Wednesday,4,14,9,10,115.69551872501408,0
Shopping Net,5.57,Female,516 Brown Parks,Manistique,Michigan,49854,6469,Trade mark attorney,41,Friday,3,19,12,6,54.55288489376993,0
Kids Pets,210.01,Male,135 Joseph Mountains,Sula,Montana,59871,218,"Therapist, horticultural",24,Tuesday,29,19,9,7,61.425953510123364,0
Gas Transport,55.28,Female,7618 Gonzales Mission,Centerview,Missouri,64019,2368,Electronics engineer,30,Sunday,28,11,8,9,50.80107109170227,0
Gas Transport,71.4,Male,2056 Michael Wells Apt. 348,Prairie Creek,Indiana,47869,137,Materials engineer,52,Friday,51,8,27,12,96.36202279494336,0
Food Dining,1.12,Female,14017 Thomas Plaza,Loami,Illinois,62661,1213,English as a foreign language teacher,29,Friday,50,12,12,6,85.30427920815062,0
Food Dining,123.18,Male,74835 Garner Point,Ruth,Nevada,89319,450,Interpreter,73,Sunday,28,16,15,9,115.96214781767213,0
Shopping Net,8.07,Female,2481 Mills Lock,Plainfield,New Jersey,7060,71485,Leisure centre manager,46,Sunday,21,14,5,1,73.08448393719969,0
Grocery Pos,48.86,Female,1742 Brandon Squares Apt. 461,Ruidoso,New Mexico,88355,8874,Licensed conveyancer,19,Sunday,47,20,13,10,107.15649457705297,0
Kids Pets,48.24,Male,172 Leonard Island,Dumont,Colorado,80436,565,Mental health nurse,41,Friday,30,16,13,12,48.10342801067614,0
Misc Net,4.47,Male,7309 Sophia Causeway Suite 702,Sauk Rapids,Minnesota,56379,16163,Hydrographic surveyor,32,Saturday,49,1,2,11,70.24842243575442,0
Food Dining,43.52,Female,576 House Crossroad,West Sayville,New York,11796,4056,Film/video editor,29,Monday,56,20,9,12,77.51262257591559,0
Shopping Net,44.44,Male,5364 William Harbor,Seneca,Wisconsin,54654,153,Quantity surveyor,57,Thursday,43,2,15,8,111.5317685606541,0
Shopping Pos,2.12,Male,560 Molina Path,Oakdale,New York,11769,9506,"Biochemist, clinical",66,Monday,10,9,13,5,124.34179632792093,0
Health Fitness,79.06,Female,17666 David Valleys,Sun City,California,92585,54287,"Designer, exhibition/display",47,Thursday,27,17,30,5,27.88849573955588,0
Gas Transport,71.77,Male,2497 John Motorway Suite 922,Leetsdale,Pennsylvania,15056,1140,"Administrator, education",33,Tuesday,36,8,9,7,98.15727269816682,0
Grocery Pos,86.15,Male,45654 Hess Rest,Fort Washakie,Wyoming,82514,1645,Freight forwarder,43,Saturday,50,1,1,6,107.47706918517687,0
Kids Pets,22.73,Female,5884 Sandoval Square Apt. 371,Allenhurst,New Jersey,7711,1533,"Administrator, charities/voluntary organisations",84,Tuesday,1,12,7,5,80.42570834657566,0
Shopping Pos,1.63,Female,25961 Beverly Union Apt. 042,North Wilkesboro,North Carolina,28659,21134,Dispensing optician,35,Monday,12,20,10,6,56.24348882003999,0
Grocery Pos,88.32,Female,2887 Olson Road Suite 439,Minneapolis,Minnesota,55428,1022298,Analytical chemist,52,Monday,10,6,9,12,131.69413308020492,0
Shopping Pos,4.3,Female,23843 Scott Island,Birmingham,Iowa,52535,888,Camera operator,32,Thursday,45,14,12,3,81.51125054706816,0
Health Fitness,50.37,Male,797 Jennifer Loop Suite 634,Minnesota Lake,Minnesota,56068,1087,Music tutor,56,Friday,5,12,20,9,35.17664840512285,0
Personal Care,2.93,Female,12444 Jacob Pines,Nobleboro,Maine,4555,1643,Financial trader,43,Tuesday,20,17,24,12,130.06108664834125,0
Gas Transport,76.02,Male,663 Anna Plaza,Marienville,Pennsylvania,16239,4172,"Copywriter, advertising",57,Tuesday,24,1,19,2,12.521692463996025,0
Personal Care,11.0,Female,8851 Reese Neck,Basye,Virginia,22810,863,"Engineer, mining",48,Saturday,6,15,20,6,64.1312370588678,0
Shopping Net,19.93,Female,674 Maureen Summit Apt. 276,Scotts Mills,Oregon,97375,1252,"Engineer, petroleum",83,Tuesday,40,10,31,3,84.7950394860906,0
Misc Pos,1.41,Female,75533 Tamara Valleys,Logan,Illinois,62856,324,"Scientist, research (physical sciences)",44,Monday,30,21,20,4,35.50595095878926,0
Gas Transport,38.16,Female,658 Diane Glen Apt. 677,North Washington,Pennsylvania,16048,139,Patent attorney,66,Friday,31,1,27,3,66.71794107446848,0
Gas Transport,54.99,Female,6033 Young Track Suite 804,East Canaan,Connecticut,6024,647,Comptroller,32,Monday,11,4,25,3,100.919527483038,0
Food Dining,175.05,Male,7854 Stephanie Island Suite 788,Holloway,Ohio,43985,128,Child psychotherapist,73,Monday,23,21,15,7,68.60838735376846,0
Grocery Net,48.3,Male,61390 Hayes Port,Romulus,Michigan,48174,31515,Police officer,48,Friday,57,5,21,6,78.56506169814917,0
Travel,4.68,Female,6983 Carrillo Isle,Edisto Island,South Carolina,29438,2408,"Sales professional, IT",22,Saturday,6,21,27,4,62.82811304859002,0
Kids Pets,23.21,Male,64851 Cole Turnpike,Hartford,Alabama,36344,5732,Jewellery designer,74,Monday,50,12,2,12,20.332833109296228,0
Grocery Pos,203.3,Female,5796 Lee Coves Apt. 286,Walnut Ridge,Arkansas,72476,7155,"Engineer, control and instrumentation",43,Saturday,19,8,2,5,50.09403797159105,0
Shopping Pos,127.42,Male,495 Fisher Throughway,Grand Junction,Tennessee,38039,1804,Clothing/textile technologist,46,Sunday,10,17,19,4,55.1923259172831,0
Misc Net,111.14,Female,5745 Blair Locks,West Columbia,South Carolina,29170,52126,Chemical engineer,91,Monday,12,7,4,5,95.42139376433167,0
Misc Pos,9.11,Male,615 Clarke Spring Apt. 172,Warren,Michigan,48088,134056,"Doctor, hospital",40,Saturday,22,23,6,6,62.88724231706206,0
Grocery Pos,127.06,Female,28812 Charles Mill Apt. 628,Plantersville,Alabama,36758,1412,Drilling engineer,49,Saturday,17,2,2,11,66.97730966568159,0
Misc Pos,61.11,Male,830 Myers Plaza Apt. 384,Edmond,Oklahoma,73034,116001,Media buyer,27,Monday,3,17,2,3,57.46009124278539,0
Misc Net,235.12,Male,354 Gutierrez Gateway,Comfrey,Minnesota,56019,914,Health and safety adviser,76,Wednesday,0,11,6,5,70.67982487706568,0
Grocery Pos,110.15,Male,8465 Reed Green Suite 559,Montandon,Pennsylvania,17850,645,Orthoptist,45,Wednesday,1,7,27,3,55.08771506433322,0
Entertainment,12.22,Female,03368 Michelle Trail,Gregory,Arkansas,72059,37,"Lecturer, further education",61,Tuesday,42,18,1,10,71.57781360039482,0
Health Fitness,75.16,Male,8465 Reed Green Suite 559,Montandon,Pennsylvania,17850,645,Orthoptist,45,Saturday,37,18,7,12,67.42867810552026,0
Shopping Net,23.91,Male,8840 Miller Port Suite 645,Indian Wells,California,92210,4677,Learning mentor,64,Monday,48,1,10,6,85.91867416789115,0
Entertainment,20.13,Female,372 Jeffrey Course,Sutherland,Nebraska,69165,1789,Insurance broker,37,Saturday,7,18,26,10,27.906175940694624,0
Shopping Net,6.64,Female,8011 Chapman Tunnel Apt. 568,Blairsden-Graeagle,California,96103,1725,Chartered legal executive (England and Wales),52,Saturday,34,0,28,12,85.21591724344924,0
Shopping Net,195.38,Female,6114 Moran Way,Steuben,Maine,4680,1131,Make,60,Tuesday,57,4,30,4,23.910985899327507,0
Gas Transport,47.3,Female,383 Long Islands,Downsville,New York,13755,1228,"Psychotherapist, child",29,Thursday,46,11,11,4,67.16159875794395,0
Health Fitness,34.15,Female,35737 Kirby Fall Suite 409,Vanderbilt,Pennsylvania,15486,2303,Physiotherapist,32,Wednesday,1,17,24,4,117.58026374269345,0
Gas Transport,87.86,Female,950 Sheryl Spurs,Dunlevy,Pennsylvania,15432,427,Mining engineer,69,Wednesday,39,5,10,6,98.55038076957013,0
Shopping Net,5.34,Female,76752 David Lodge Apt. 064,Breesport,New York,14816,520,Psychotherapist,28,Monday,12,16,25,11,108.81097954106446,0
Grocery Pos,68.11,Male,1166 Castillo Mountains,Ruckersville,Virginia,22968,9815,"Designer, ceramics/pottery",44,Saturday,13,8,21,12,73.00928566646597,0
Entertainment,10.27,Female,46297 Benjamin Plains Suite 703,Washington Court House,Ohio,43160,22305,Television floor manager,80,Monday,18,2,20,5,123.45384652166035,0
Personal Care,31.64,Female,94431 Matthew Mall Suite 296,Plymouth,Connecticut,6782,2376,Herpetologist,46,Thursday,14,16,19,9,52.907241950768984,0
Gas Transport,70.88,Male,920 Patrick Light,Mc Nabb,Illinois,61335,532,Audiological scientist,64,Tuesday,33,7,14,4,107.02747076947244,0
Grocery Pos,141.12,Female,343 Hannah Parkway,Comfort,West Virginia,25049,630,Fine artist,60,Saturday,44,8,9,3,38.13233074335715,0
Misc Pos,47.17,Male,701 Wilson Divide,Highland,Indiana,46322,23727,Community arts worker,37,Sunday,18,21,18,8,102.33748766985545,0
Entertainment,10.16,Female,471 Marquez Prairie Suite 680,Matthews,Missouri,63867,1019,Aeronautical engineer,40,Saturday,52,23,7,9,71.58730699654038,0
Gas Transport,45.5,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,32,Thursday,25,9,14,5,56.60519567225566,0
Health Fitness,9.63,Female,47152 Clayton Burg,Manchester,Maryland,21102,11751,Clinical research associate,56,Monday,57,19,20,4,92.67664388726921,0
Entertainment,50.13,Male,622 Robert Summit,Akron,Ohio,44307,272134,Call centre manager,55,Tuesday,46,2,3,12,87.8168014659056,0
Kids Pets,94.04,Female,372 Jeffrey Course,Sutherland,Nebraska,69165,1789,Insurance broker,38,Friday,52,13,24,4,51.66249626030045,0
Shopping Net,1.85,Female,3595 Susan Island Suite 063,Thomas,Oklahoma,73669,1675,Barrister,33,Saturday,6,22,26,10,52.78216789095374,0
Home,26.0,Female,2870 Bean Terrace Apt. 756,Thomas,West Virginia,26292,836,Forensic psychologist,38,Friday,48,16,23,8,83.51869286032161,0
Kids Pets,60.08,Female,9853 Flynn Hollow Apt. 602,Reynolds,North Dakota,58275,733,Visual merchandiser,25,Thursday,55,17,26,9,126.39913718757224,0
Grocery Pos,119.2,Female,1911 Fisher Brook,Kirtland Afb,New Mexico,87117,310,"Surveyor, land/geomatics",42,Wednesday,36,7,1,4,110.25221268439051,0
Food Dining,230.38,Female,7178 Willis Drive,Hooper,Nebraska,68031,1745,"Engineer, automotive",46,Monday,33,16,30,9,40.38275422169445,0
Home,92.22,Female,77321 Ford Via,Moriches,New York,11955,3285,"Research officer, trade union",31,Thursday,10,22,6,6,77.35351064569736,0
Shopping Pos,143.53,Female,576 House Crossroad,West Sayville,New York,11796,4056,Film/video editor,29,Saturday,2,18,30,11,86.4231071487829,0
Misc Net,9.02,Female,9016 Jordan Bypass Apt. 516,Cranks,Kentucky,40820,581,"Psychologist, counselling",52,Saturday,50,5,26,10,83.71015460757901,0
Entertainment,54.08,Female,5796 Lee Coves Apt. 286,Walnut Ridge,Arkansas,72476,7155,"Engineer, control and instrumentation",42,Tuesday,24,22,26,2,99.31753182917669,0
Kids Pets,89.19,Female,63991 Destiny Rue Apt. 651,Tyler,Texas,75703,144160,Sports development officer,35,Sunday,1,23,10,2,105.6365385524395,0
Misc Net,2.38,Male,44951 Williams Brooks,Pearlington,Mississippi,39572,1414,"Therapist, occupational",61,Tuesday,42,11,2,4,32.23923131620707,0
Shopping Net,2.37,Female,927 Cummings Manor Suite 318,Greendale,Wisconsin,53129,13973,Logistics and distribution manager,38,Sunday,46,21,20,10,63.568780778156025,0
Kids Pets,375.71,Female,471 Marquez Prairie Suite 680,Matthews,Missouri,63867,1019,Aeronautical engineer,41,Monday,56,21,20,4,98.33355378768545,0
Home,70.35,Female,292 Lowe Dam Suite 858,West Palm Beach,Florida,33417,459921,Historic buildings inspector/conservation officer,59,Monday,31,23,23,12,93.34869757277224,0
Personal Care,81.87,Male,857 Aaron Circles Suite 398,Johns Island,South Carolina,29455,20478,Materials engineer,22,Friday,32,20,20,12,114.83370879970042,0
Health Fitness,6.7,Female,8851 Reese Neck,Basye,Virginia,22810,863,"Engineer, mining",47,Sunday,48,21,27,1,89.74933230463868,0
Health Fitness,40.93,Female,899 Michele View Suite 960,Philadelphia,Pennsylvania,19149,1526206,Structural engineer,34,Sunday,30,19,14,4,71.88735881610441,0
Kids Pets,12.81,Female,5204 Robinson Plaza Suite 897,Barnstable,Massachusetts,2630,1850,Counselling psychologist,56,Saturday,11,22,14,12,30.581139755841626,0
Kids Pets,107.63,Female,9412 Harris Mews,O Brien,Texas,79539,178,Warden/ranger,36,Friday,7,18,4,10,95.1323586626637,0
Misc Net,128.6,Female,4293 Ramirez Squares,Ranier,Minnesota,56668,136,Ceramics designer,19,Tuesday,36,13,13,8,99.03751084089997,0
Gas Transport,41.55,Female,79472 Stevens Trace Apt. 120,Hannawa Falls,New York,13647,69,Chief Executive Officer,28,Sunday,38,10,5,5,115.83408824232886,0
Shopping Pos,2.74,Male,5537 Jessica Plaza,Pewee Valley,Kentucky,40056,3263,Stage manager,89,Monday,51,8,24,6,36.340998130513036,0
Personal Care,68.54,Male,70147 Amanda Fields,Saint Bonaventure,New York,14778,1453,Toxicologist,45,Tuesday,10,16,24,12,84.36647483544857,0
